"","CHICOMNO","DISTNAME","DISTITLE","FAMINC","HOUSINC","PERCAPINC","MEDVALOOH","MEDRENT"
"0","0047",47,"Burnside",30179,25946,9025,54900,371
"1","0054",54,"Riverdale",7360,6401,3952,46000,115
"2","0001",1,"Rogers Park",27330,23902,12603,108400,429
"3","0002",2,"West Ridge",36791,31408,14792,127700,491
"4","0003",3,"Uptown",22378,19711,12389,137800,378
"5","0004",4,"Lincoln Square",31403,26344,13091,116600,427
"6","0005",5,"North Center",34739,28941,14132,105400,401
"7","0006",6,"Lake View",45981,31871,26025,192300,513
"8","0007",7,"Lincoln Park",75113,41016,38481,323900,598
"9","0009",9,"Edison Park",49535,41037,18170,137000,526
"10","0011",11,"Jefferson Park",44502,35442,16890,116000,467
"11","0012",12,"Forest Glen",59825,51225,24585,171200,500
"12","0013",13,"North Park",45049,34993,14887,135100,459
"13","0014",14,"Albany Park",30776,27285,10273,103900,397
"14","0015",15,"Portage Park",40655,32210,15351,105000,426
"15","0016",16,"Irving Park",34661,28816,13721,100100,398
"16","0017",17,"Dunning",41547,35524,15000,108800,469
"17","0018",18,"Montclare",40381,33132,14261,100400,436
"18","0019",19,"Belmont Cragin",34763,29900,11938,92200,402
"19","0020",20,"Hermosa",29518,26736,9287,82600,370
"20","0021",21,"Avondale",29432,26719,11228,81100,362
"21","0022",22,"Logan Square",23916,22584,8846,72700,346
"22","0023",23,"Humboldt Park",21296,20038,6905,53300,332
"23","0024",24,"West Town",20532,19236,8258,73000,293
"24","0008",8,"Near North Side",62715,38684,44537,500001,674
"25","0025",25,"Austin",28192,24877,8759,68600,366
"26","0026",26,"West Garfield Park",17170,15102,6174,47900,323
"27","0027",27,"East Garfield Park",14301,12082,5852,39700,286
"28","0028",28,"Near West Side",10628,9336,8306,121900,218
"29","0029",29,"North Lawndale",14209,12570,5550,43800,290
"30","0030",30,"South Lawndale",23259,22260,6307,48900,262
"31","0031",31,"Lower West Side",22128,20571,6467,44300,231
"32","0032",32,"Loop",71525,48331,40637,194400,810
"33","0033",33,"Near South Side",7576,6804,5992,291700,148
"34","0034",34,"Armour Square",21157,13516,9386,98100,221
"35","0035",35,"Douglas",10577,12993,9223,113000,353
"36","0036",36,"Oakland",5909,5068,3638,50000,129
"37","0037",37,"Fuller Park",13314,8310,6133,42300,239
"38","0038",38,"Grand Boulevard",8371,7146,4713,49700,213
"39","0039",39,"Kenwood",31954,22808,18342,134500,404
"40","0040",40,"Washington Park",9657,8403,4994,45000,297
"41","0041",41,"Hyde Park",41992,27692,19689,218500,479
"42","0042",42,"Woodlawn",17714,13680,7509,53300,323
"43","0043",43,"South Shore",23690,20094,10769,66600,391
"44","0044",44,"Chatham",29258,24008,12292,67800,382
"45","0045",45,"Avalon Park",39733,34622,13014,65700,375
"46","0046",46,"South Chicago",26215,22840,8885,59800,298
"47","0048",48,"Calumet Heights",42454,38237,14873,73300,397
"48","0049",49,"Roseland",31106,28601,10217,62000,344
"49","0050",50,"Pullman",31739,25413,10777,55300,275
"50","0051",51,"South Deering",31420,28533,10038,51800,225
"51","0052",52,"East Side",31806,27610,10716,58600,288
"52","0055",55,"Hegewisch",36797,31303,13252,65300,271
"53","0053",53,"West Pullman",33065,31699,9457,60600,347
"54","0056",56,"Garfield Ridge",38140,32857,13322,82700,368
"55","0057",57,"Archer Heights",37744,31702,13907,75200,371
"56","0058",58,"Brighton Park",30677,25797,11000,57200,295
"57","0059",59,"McKinley Park",31597,26615,10682,53200,294
"58","0060",60,"Bridgeport",30275,25057,10715,69000,274
"59","0061",61,"New City",20852,19643,6607,41900,269
"60","0062",62,"West Elsdon",37426,30918,14180,78100,415
"61","0065",65,"West Lawn",40687,34883,14350,84400,418
"62","0066",66,"Chicago Lawn",30765,25757,10144,78200,397
"63","0067",67,"West Englewood",23609,22112,6976,59600,355
"64","0068",68,"Englewood",15615,13243,5914,42300,302
"65","0069",69,"Greater Grand Crossing",22931,18529,9204,57200,346
"66","0070",70,"Ashburn",43109,39189,14773,81100,427
"67","0071",71,"Auburn Gresham",31305,27547,9938,64200,371
"68","0072",72,"Beverly",54995,48914,20002,103300,449
"69","0073",73,"Washington Heights",37184,34032,11548,65400,386
"70","0074",74,"Mount Greenwood",46651,40226,16061,82200,476
"71","0075",75,"Morgan Park",41209,36328,13406,74500,406
"72","0077",77,"Edgewater",32150,25042,16261,123900,418
"73","0064",64,"Clearing",39523,33746,14527,84400,418
"74","0063",63,"Gage Park",34613,29770,11207,59000,335
"75","0076",76,"O'Hare",43705,35598,20246,171200,585
"76","0010",10,"Norwood Park",46707,39265,17985,130800,517
